City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,hasaki,JP,75.29,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
8,airai,TL,77.05,few clouds,-8.9266,125.4092,Juvinal Martin
9,tutoia,BR,79.81,scattered clouds,-2.7619,-42.2744,Pousada Guará's
10,atuona,PF,77.85,few clouds,-9.8,-139.0333,Villa Enata
12,rikitea,PF,73.33,clear sky,-23.1203,-134.9692,People ThankYou
16,bengkulu,ID,78.33,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
18,nelson bay,AU,75.29,few clouds,-32.7167,152.15,Mantra Nelson Bay
24,kiunga,PG,75.31,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
31,belmonte,BR,75.7,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
37,fayaoue,NC,72.99,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
40,virginia beach,US,74.01,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
41,sao filipe,CV,79.54,few clouds,14.8961,-24.4956,Hotel Xaguate
50,bintulu,MY,79.9,broken clouds,3.1667,113.0333,900 Boutique INN
53,ponta do sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
63,piacabucu,BR,74.84,broken clouds,-10.4056,-36.4344,Piaçabuçu News
74,mogadishu,SO,77.07,broken clouds,2.0371,45.3438,Hotel Juba
76,odweyne,SO,76.42,overcast clouds,9.4092,45.064,Eng Hiirey House
77,naze,JP,79.43,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
83,puerto del rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
84,caravelas,BR,72.3,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
93,alofi,NU,76.86,clear sky,-19.0595,-169.9187,Taloa Heights
96,san cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
97,cassilandia,BR,78.67,clear sky,-19.1133,-51.7342,Delirius Motel
98,katsuura,JP,76.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
100,sinazongwe,ZM,74.05,clear sky,-17.2614,27.4618,Lakeview Lodge
108,mastic beach,US,72.05,few clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
112,meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
115,puerto ayacucho,VE,77.14,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
116,laguna,US,79.45,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
119,freeport,US,74.37,broken clouds,40.6576,-73.5832,The Freeport Inn and Marina
121,am timan,TD,75.85,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
123,sinnamary,GF,79.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
129,burla,IN,76.06,overcast clouds,21.5,83.8667,VSSUT Guest House
134,trairi,BR,79.41,broken clouds,-3.2778,-39.2689,janelas do mar
137,mount pleasant,US,73.98,clear sky,32.7941,-79.8626,Best Western Patriots Point
139,patancheru,IN,74.26,overcast clouds,17.5314,78.265,Sultan Palace
141,rantepao,ID,78.15,broken clouds,-2.9701,119.8978,Hotel Luta Resort
144,touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
145,bireun,ID,79.93,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
146,srivardhan,IN,76.01,light rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
150,salalah,OM,78.89,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
154,pacific grove,US,74.16,broken clouds,36.6177,-121.9166,Lovers Point Inn
163,abonnema,NG,75.13,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
166,sola,VU,79.3,broken clouds,-13.8833,167.55,Leumerus Bungalows
169,hit,IQ,78.28,clear sky,33.6416,42.8251,صالون زيرو
178,capanema,BR,73.0,clear sky,-1.1958,-47.1808,Hotel Legal
184,portobelo,PA,79.21,overcast clouds,9.55,-79.65,Scuba Portobelo
185,brigantine,US,72.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
199,faanui,PF,79.63,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
215,yarada,IN,77.32,overcast clouds,17.65,83.2667,Jeevan
219,guymon,US,78.8,clear sky,36.6828,-101.4816,Super 8 Guymon
224,porto novo,BJ,76.39,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
226,garden city,US,72.05,clear sky,42.3256,-83.331,Quality Inn & Suites Banquet Center
231,bethel,US,72.57,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
236,governador valadares,BR,75.51,broken clouds,-18.8511,-41.9494,Hotel Panorama
238,mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
244,dzaoudzi,YT,75.09,clear sky,-12.7887,45.2699,Le Rocher
247,vicuna,CL,75.78,clear sky,-30.0319,-70.7081,Los Mosaicos
250,hamilton,US,76.39,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
259,bandarbeyla,SO,76.96,broken clouds,9.4942,50.8122,JABIR HOTEL
264,yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
272,westport,US,74.05,clear sky,41.1415,-73.3579,The Westport Inn
276,morehead,US,73.62,clear sky,37.2711,-87.1764,CCI Express Inn
281,buchanan,LR,75.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
296,coromandel,BR,73.87,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
297,sao joao da barra,BR,72.68,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
301,chake chake,TZ,73.02,overcast clouds,-5.2459,39.7666,Hotel Archipelago
