City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,lorengau,PG,2021-09-28 01:10:33,-2.0226,147.2712,85.5,65,73,8.19,broken clouds
1,lebu,CL,2021-09-28 01:14:17,-37.6167,-73.65,48.31,82,98,14.45,overcast clouds
2,ambulu,ID,2021-09-28 01:14:18,-8.345,113.6058,80.22,68,16,4.79,few clouds
3,chuy,UY,2021-09-28 01:14:18,-33.6971,-53.4616,57.25,96,100,7.18,light rain
4,upernavik,GL,2021-09-28 01:09:22,72.7868,-56.1549,25.07,57,73,4.14,broken clouds
5,avarua,CK,2021-09-28 01:14:19,-21.2078,-159.775,80.65,74,75,10.36,broken clouds
6,hasaki,JP,2021-09-28 01:14:19,35.7333,140.8333,75.29,59,66,14.34,broken clouds
7,port lincoln,AU,2021-09-28 01:14:20,-34.7333,135.8667,68.07,46,55,3.91,broken clouds
8,airai,TL,2021-09-28 01:14:20,-8.9266,125.4092,77.05,33,16,3.11,few clouds
9,tutoia,BR,2021-09-28 01:14:21,-2.7619,-42.2744,79.81,84,38,12.15,scattered clouds
10,atuona,PF,2021-09-28 01:14:21,-9.8,-139.0333,77.85,73,14,19.66,few clouds
11,hingatungan,PH,2021-09-28 01:14:22,10.584,125.1852,85.23,68,91,1.99,overcast clouds
12,rikitea,PF,2021-09-28 01:14:22,-23.1203,-134.9692,73.33,74,5,21.12,clear sky
13,namibe,AO,2021-09-28 01:14:23,-15.1961,12.1522,62.67,88,39,1.05,scattered clouds
14,broken hill,AU,2021-09-28 01:14:23,-31.95,141.4333,70.47,20,100,9.75,overcast clouds
15,naifaru,MV,2021-09-28 01:14:24,5.4444,73.3657,80.08,79,100,21.05,overcast clouds
16,bengkulu,ID,2021-09-28 01:11:21,-3.8004,102.2655,78.33,86,61,3.53,broken clouds
17,poum,NC,2021-09-28 01:14:24,-20.2333,164.0167,71.47,72,71,10.04,broken clouds
18,nelson bay,AU,2021-09-28 01:10:29,-32.7167,152.15,75.29,54,11,3.0,few clouds
19,itapirapua,BR,2021-09-28 01:14:25,-15.8233,-50.6133,83.28,40,87,6.69,overcast clouds
20,sayyan,YE,2021-09-28 01:14:25,15.1718,44.3244,58.46,27,9,2.77,clear sky
21,kununurra,AU,2021-09-28 01:14:26,-15.7667,128.7333,87.78,51,99,4.61,overcast clouds
22,puerto ayora,EC,2021-09-28 01:14:26,-0.7393,-90.3518,69.08,91,89,8.55,overcast clouds
23,mataura,NZ,2021-09-28 01:14:27,-46.1927,168.8643,56.48,40,66,4.88,broken clouds
24,kiunga,PG,2021-09-28 01:14:27,-6.1219,141.2906,75.31,99,100,1.05,overcast clouds
25,kenai,US,2021-09-28 01:14:28,60.5544,-151.2583,49.03,44,1,4.61,clear sky
26,jamestown,US,2021-09-28 01:14:28,42.097,-79.2353,67.84,82,1,1.01,clear sky
27,kapaa,US,2021-09-28 01:13:00,22.0752,-159.319,85.98,75,20,7.0,light rain
28,korla,CN,2021-09-28 01:14:29,41.7597,86.1469,66.74,24,0,5.06,clear sky
29,ushuaia,AR,2021-09-28 01:14:29,-54.8,-68.3,40.66,87,75,17.27,light intensity drizzle
30,praia da vitoria,PT,2021-09-28 01:14:30,38.7333,-27.0667,67.75,90,98,13.73,overcast clouds
31,belmonte,BR,2021-09-28 01:14:30,-15.8631,-38.8828,75.7,86,31,7.05,scattered clouds
32,albany,US,2021-09-28 01:10:44,42.6001,-73.9662,69.67,84,100,5.86,overcast clouds
33,barbastro,ES,2021-09-28 01:14:31,42.0356,0.1269,63.14,61,44,2.8,scattered clouds
34,irati,BR,2021-09-28 01:14:31,-25.4672,-50.6511,65.5,68,8,3.18,clear sky
35,tiksi,RU,2021-09-28 01:14:32,71.6872,128.8694,32.63,95,99,4.21,light snow
36,new norfolk,AU,2021-09-28 01:14:32,-42.7826,147.0587,59.76,60,100,1.01,moderate rain
37,fayaoue,NC,2021-09-28 01:14:33,-20.65,166.5333,72.99,68,87,12.57,overcast clouds
38,nikolskoye,RU,2021-09-28 01:14:33,59.7035,30.7861,44.87,95,0,2.93,clear sky
39,butaritari,KI,2021-09-28 01:14:33,3.0707,172.7902,83.88,73,10,18.14,clear sky
40,virginia beach,US,2021-09-28 01:12:33,36.8529,-75.978,74.01,70,20,5.75,few clouds
41,sao filipe,CV,2021-09-28 01:14:34,14.8961,-24.4956,79.54,79,13,5.37,few clouds
42,khairpur,PK,2021-09-28 01:14:34,27.5295,68.7617,89.17,47,4,4.88,clear sky
43,barrow,US,2021-09-28 01:14:35,71.2906,-156.7887,30.22,80,90,11.5,overcast clouds
44,vilhena,BR,2021-09-28 01:14:35,-12.7406,-60.1458,71.71,69,1,3.33,clear sky
45,vallenar,CL,2021-09-28 01:14:36,-28.5708,-70.7581,69.94,34,0,0.83,clear sky
46,omemee,CA,2021-09-28 01:14:36,44.299,-78.5599,64.33,90,45,7.9,scattered clouds
47,santa rosa,PH,2021-09-28 01:14:37,14.3122,121.1114,88.86,70,43,2.26,scattered clouds
48,ahipara,NZ,2021-09-28 01:14:37,-35.1667,173.1667,56.68,64,12,13.42,few clouds
49,bluff,NZ,2021-09-28 01:14:38,-46.6,168.3333,56.8,66,89,12.75,overcast clouds
50,bintulu,MY,2021-09-28 01:10:33,3.1667,113.0333,79.9,85,77,2.66,broken clouds
51,dallas,US,2021-09-28 01:12:21,32.7668,-96.7836,82.65,47,40,6.91,scattered clouds
52,camocim,BR,2021-09-28 01:14:39,-2.9022,-40.8411,80.28,77,41,16.62,scattered clouds
53,ponta do sol,PT,2021-09-28 01:14:39,32.6667,-17.1,72.23,68,50,3.62,scattered clouds
54,punta arenas,CL,2021-09-28 01:14:39,-53.15,-70.9167,42.82,87,90,13.8,light rain
55,busselton,AU,2021-09-28 01:14:40,-33.65,115.3333,61.05,73,100,8.55,overcast clouds
56,arraial do cabo,BR,2021-09-28 01:14:40,-22.9661,-42.0278,71.22,90,4,19.46,clear sky
57,sioux lookout,CA,2021-09-28 01:14:41,50.1001,-91.917,50.81,62,56,4.9,broken clouds
58,ancud,CL,2021-09-28 01:14:41,-41.8697,-73.8203,45.93,87,99,3.44,overcast clouds
59,dongli,CN,2021-09-28 01:14:42,23.5656,116.8194,82.92,63,0,0.78,clear sky
60,ayan,RU,2021-09-28 01:14:42,56.45,138.1667,49.21,65,66,5.41,broken clouds
61,biak,ID,2021-09-28 01:14:43,-0.9131,122.8766,81.41,69,100,3.91,overcast clouds
62,miyako,JP,2021-09-28 01:14:43,39.6367,141.9525,68.97,65,92,8.66,overcast clouds
63,piacabucu,BR,2021-09-28 01:13:19,-10.4056,-36.4344,74.84,80,82,9.66,broken clouds
64,alekseyevka,RU,2021-09-28 01:14:44,50.6309,38.6903,47.89,89,100,7.23,overcast clouds
65,ribeira grande,PT,2021-09-28 01:14:44,38.5167,-28.7,70.23,81,97,11.72,overcast clouds
66,castro,BR,2021-09-28 01:14:45,-24.7911,-50.0119,65.44,71,46,5.12,scattered clouds
67,amapa,BR,2021-09-28 01:14:45,1.0,-52.0,73.69,76,4,3.33,clear sky
68,cape town,ZA,2021-09-28 01:10:44,-33.9258,18.4232,55.11,73,1,6.62,clear sky
69,mahebourg,MU,2021-09-28 01:14:46,-20.4081,57.7,70.25,73,94,14.34,light rain
70,namatanai,PG,2021-09-28 01:14:46,-3.6667,152.4333,85.46,67,78,5.06,broken clouds
71,lasa,IT,2021-09-28 01:14:46,46.6166,10.7002,53.02,78,2,4.94,clear sky
72,pevek,RU,2021-09-28 01:14:47,69.7008,170.3133,23.76,74,100,5.73,overcast clouds
73,tuktoyaktuk,CA,2021-09-28 01:14:47,69.4541,-133.0374,28.27,82,15,10.18,few clouds
74,mogadishu,SO,2021-09-28 01:12:39,2.0371,45.3438,77.07,83,71,17.76,broken clouds
75,ergani,TR,2021-09-28 01:14:48,38.2653,39.7621,60.35,26,0,6.44,clear sky
76,odweyne,SO,2021-09-28 01:14:48,9.4092,45.064,76.42,38,85,7.16,overcast clouds
77,naze,JP,2021-09-28 01:14:49,28.3667,129.4833,79.43,78,5,13.4,clear sky
78,paita,PE,2021-09-28 01:14:49,-5.0892,-81.1144,65.17,84,4,11.7,clear sky
79,tautira,PF,2021-09-28 01:14:50,-17.7333,-149.15,84.22,75,26,14.2,scattered clouds
80,cabo san lucas,MX,2021-09-28 01:14:50,22.8909,-109.9124,86.5,70,1,6.91,clear sky
81,tirlyanskiy,RU,2021-09-28 01:14:50,54.2109,58.5806,29.7,96,100,12.8,snow
82,georgetown,MY,2021-09-28 01:14:51,5.4112,100.3354,83.89,82,20,5.75,few clouds
83,puerto del rosario,ES,2021-09-28 01:14:51,28.5004,-13.8627,73.15,83,1,19.57,clear sky
84,caravelas,BR,2021-09-28 01:14:52,-17.7125,-39.2481,72.3,84,14,6.02,few clouds
85,kenora,CA,2021-09-28 01:12:37,49.8167,-94.4337,64.38,55,30,5.99,scattered clouds
86,yellowknife,CA,2021-09-28 01:13:05,62.456,-114.3525,43.41,80,20,5.99,few clouds
87,bambous virieux,MU,2021-09-28 01:14:52,-20.3428,57.7575,70.21,72,100,14.45,light rain
88,harstad,NO,2021-09-28 01:14:53,68.799,16.5293,56.7,78,100,30.0,overcast clouds
89,oranjemund,NA,2021-09-28 01:14:53,-28.55,16.4333,53.42,92,11,12.53,few clouds
90,vaini,TO,2021-09-28 01:14:54,-21.2,-175.2,80.76,78,20,6.91,few clouds
91,port elizabeth,ZA,2021-09-28 01:14:54,-33.918,25.5701,61.11,84,72,14.97,broken clouds
92,provideniya,RU,2021-09-28 01:14:54,64.3833,-173.3,33.91,69,75,11.18,broken clouds
93,alofi,NU,2021-09-28 01:10:14,-19.0595,-169.9187,76.86,77,10,14.81,clear sky
94,general pico,AR,2021-09-28 01:14:55,-35.6566,-63.7568,45.41,93,0,7.05,clear sky
95,rawson,AR,2021-09-28 01:14:56,-43.3002,-65.1023,54.14,39,31,4.43,scattered clouds
96,san cristobal,VE,2021-09-28 01:14:56,7.7669,-72.225,75.38,97,67,3.47,broken clouds
97,cassilandia,BR,2021-09-28 01:14:56,-19.1133,-51.7342,78.67,40,5,5.03,clear sky
98,katsuura,JP,2021-09-28 01:14:57,35.1333,140.3,76.1,69,97,14.18,overcast clouds
99,tarko-sale,RU,2021-09-28 01:14:57,64.9225,77.785,31.44,78,40,7.54,scattered clouds
100,sinazongwe,ZM,2021-09-28 01:14:58,-17.2614,27.4618,74.05,48,6,5.61,clear sky
101,krosno odrzanskie,PL,2021-09-28 01:14:58,52.0549,15.0988,62.85,92,100,3.76,overcast clouds
102,houma,US,2021-09-28 01:13:41,29.5958,-90.7195,80.01,91,100,5.93,overcast clouds
103,alyangula,AU,2021-09-28 01:14:59,-13.8483,136.4192,83.07,68,37,9.17,scattered clouds
104,xuddur,SO,2021-09-28 01:14:59,4.1213,43.8894,70.59,74,20,15.52,few clouds
105,leningradskiy,RU,2021-09-28 01:15:00,69.3833,178.4167,26.29,93,100,8.25,light snow
106,port alfred,ZA,2021-09-28 01:15:00,-33.5906,26.891,62.15,84,100,17.52,overcast clouds
107,san patricio,US,2021-09-28 01:15:03,28.017,-97.5169,83.12,72,6,9.6,clear sky
108,mastic beach,US,2021-09-28 01:15:03,40.7668,-72.8521,72.05,74,20,3.0,few clouds
109,dikson,RU,2021-09-28 01:15:04,73.5069,80.5464,34.9,86,100,20.31,overcast clouds
110,sitka,US,2021-09-28 01:15:05,57.0531,-135.33,49.89,81,90,11.5,light rain
111,chokurdakh,RU,2021-09-28 01:15:05,70.6333,147.9167,24.73,82,98,17.56,overcast clouds
112,meulaboh,ID,2021-09-28 01:15:05,4.1363,96.1285,78.46,82,100,10.74,overcast clouds
113,barstow,US,2021-09-28 01:15:06,34.8986,-117.0228,88.79,21,0,24.63,clear sky
114,ballina,AU,2021-09-28 01:15:06,-28.8667,153.5667,69.98,48,75,9.06,broken clouds
115,puerto ayacucho,VE,2021-09-28 01:15:07,5.6639,-67.6236,77.14,87,100,4.38,overcast clouds
116,laguna,US,2021-09-28 01:15:07,38.421,-121.4238,79.45,63,90,8.01,overcast clouds
117,clyde river,CA,2021-09-28 01:15:07,70.4692,-68.5914,27.63,88,23,12.26,few clouds
118,qaanaaq,GL,2021-09-28 01:15:08,77.484,-69.3632,24.48,65,100,7.09,overcast clouds
119,freeport,US,2021-09-28 01:15:08,40.6576,-73.5832,74.37,69,75,8.99,broken clouds
120,kodiak,US,2021-09-28 01:15:09,57.79,-152.4072,45.59,53,100,4.27,overcast clouds
121,am timan,TD,2021-09-28 01:15:09,11.0297,20.2827,75.85,81,100,1.1,overcast clouds
122,quilmana,PE,2021-09-28 01:15:10,-12.95,-76.3833,64.24,79,95,5.48,overcast clouds
123,sinnamary,GF,2021-09-28 01:15:10,5.3833,-52.95,79.95,83,99,10.47,overcast clouds
124,talnakh,RU,2021-09-28 01:15:11,69.4865,88.3972,31.91,57,100,1.28,overcast clouds
125,torit,SS,2021-09-28 01:15:11,4.4133,32.5678,69.42,91,99,1.45,overcast clouds
126,vostok,RU,2021-09-28 01:15:11,46.4856,135.8833,55.17,97,100,2.82,overcast clouds
127,abu dhabi,AE,2021-09-28 01:13:29,24.4667,54.3667,87.91,70,94,3.44,overcast clouds
128,grand forks,US,2021-09-28 01:12:26,47.9417,-97.4337,69.58,50,40,9.22,scattered clouds
129,burla,IN,2021-09-28 01:15:13,21.5,83.8667,76.06,93,100,5.03,overcast clouds
130,ananas,HT,2021-09-28 01:15:13,19.2466,-71.9557,68.95,92,100,2.64,overcast clouds
131,chapais,CA,2021-09-28 01:15:14,49.7834,-74.8492,42.58,93,100,9.6,overcast clouds
132,kautokeino,NO,2021-09-28 01:15:14,69.0125,23.0412,44.83,92,100,19.64,overcast clouds
133,untsukul,RU,2021-09-28 01:15:14,42.7115,46.7866,50.47,94,100,3.89,overcast clouds
134,trairi,BR,2021-09-28 01:13:31,-3.2778,-39.2689,79.41,83,57,11.59,broken clouds
135,hobart,AU,2021-09-28 01:13:07,-42.8794,147.3294,60.12,59,75,1.99,light rain
136,thompson,CA,2021-09-28 01:15:15,55.7435,-97.8558,53.76,76,75,8.05,broken clouds
137,mount pleasant,US,2021-09-28 01:10:54,32.7941,-79.8626,73.98,82,1,3.0,clear sky
138,luderitz,NA,2021-09-28 01:15:16,-26.6481,15.1594,55.47,79,2,19.19,clear sky
139,patancheru,IN,2021-09-28 01:15:16,17.5314,78.265,74.26,94,100,15.75,overcast clouds
140,saldanha,ZA,2021-09-28 01:15:17,-33.0117,17.9442,56.08,78,0,11.92,clear sky
141,rantepao,ID,2021-09-28 01:15:18,-2.9701,119.8978,78.15,70,65,3.15,broken clouds
142,miri,MY,2021-09-28 01:13:11,4.4148,114.0089,81.1,81,34,3.65,scattered clouds
143,egvekinot,RU,2021-09-28 01:15:19,66.3167,-179.1667,27.07,81,100,2.95,overcast clouds
144,touros,BR,2021-09-28 01:15:19,-5.1989,-35.4608,77.9,85,42,16.35,scattered clouds
145,bireun,ID,2021-09-28 01:15:20,5.203,96.7009,79.93,81,100,3.89,overcast clouds
146,srivardhan,IN,2021-09-28 01:15:20,18.0333,73.0167,76.01,92,100,5.5,light rain
147,balezino,RU,2021-09-28 01:15:21,57.9796,53.0106,32.02,89,15,8.9,few clouds
148,ler,SS,2021-09-28 01:15:21,8.3018,30.1418,73.08,82,65,1.86,broken clouds
149,la seyne-sur-mer,FR,2021-09-28 01:15:21,43.0982,5.8847,71.89,59,32,7.47,scattered clouds
150,salalah,OM,2021-09-28 01:15:22,17.0151,54.0924,78.89,94,20,4.61,few clouds
151,saint-philippe,RE,2021-09-28 01:15:22,-21.3585,55.7679,69.35,74,27,13.38,scattered clouds
152,jaciara,BR,2021-09-28 01:15:23,-15.9653,-54.9683,85.28,42,94,1.32,overcast clouds
153,rocha,UY,2021-09-28 01:15:23,-34.4833,-54.3333,55.58,98,100,5.23,overcast clouds
154,pacific grove,US,2021-09-28 01:15:24,36.6177,-121.9166,74.16,87,75,1.99,broken clouds
155,kaitangata,NZ,2021-09-28 01:15:24,-46.2817,169.8464,58.93,38,73,1.77,broken clouds
156,keetmanshoop,NA,2021-09-28 01:15:25,-26.5833,18.1333,52.72,82,14,6.2,few clouds
157,angoche,MZ,2021-09-28 01:15:25,-16.2325,39.9086,71.6,87,8,6.96,clear sky
158,sekoma,BW,2021-09-28 01:11:16,-24.4,23.8833,66.51,28,42,9.64,scattered clouds
159,barabinsk,RU,2021-09-28 01:15:26,55.3571,78.357,33.94,90,85,6.89,overcast clouds
160,victoria,HK,2021-09-28 01:12:52,22.2855,114.1577,86.97,79,4,1.01,clear sky
161,college,US,2021-09-28 01:15:26,64.8569,-147.8028,40.95,69,75,0.0,light rain
162,mehamn,NO,2021-09-28 01:15:27,71.0357,27.8492,52.47,75,100,10.27,overcast clouds
163,abonnema,NG,2021-09-28 01:15:27,4.7084,6.7931,75.13,93,99,3.89,overcast clouds
164,jeremie,HT,2021-09-28 01:15:28,18.65,-74.1167,81.34,82,22,6.62,few clouds
165,hermanus,ZA,2021-09-28 01:15:28,-34.4187,19.2345,54.9,80,6,6.24,clear sky
166,sola,VU,2021-09-28 01:15:29,-13.8833,167.55,79.3,80,56,18.72,broken clouds
167,cidreira,BR,2021-09-28 01:11:14,-30.1811,-50.2056,66.38,92,1,14.27,clear sky
168,kangaatsiaq,GL,2021-09-28 01:15:30,68.3065,-53.4641,26.15,57,0,12.97,clear sky
169,hit,IQ,2021-09-28 01:15:30,33.6416,42.8251,78.28,20,0,7.81,clear sky
170,longyearbyen,SJ,2021-09-28 01:15:31,78.2186,15.6401,33.64,93,75,5.75,light snow
171,fredericton,CA,2021-09-28 01:11:13,45.9454,-66.6656,58.01,89,100,1.99,light rain
172,kemijarvi,FI,2021-09-28 01:15:31,66.7131,27.4306,42.55,90,69,5.7,broken clouds
173,yablonovskiy,RU,2021-09-28 01:15:32,44.989,38.9432,50.14,91,0,4.47,clear sky
174,lucapa,AO,2021-09-28 01:15:33,-8.4192,20.7447,64.85,94,100,2.44,overcast clouds
175,bodden town,KY,2021-09-28 01:15:33,19.2833,-81.25,86.0,79,20,1.99,few clouds
176,teya,RU,2021-09-28 01:15:34,60.3778,92.6267,33.46,87,100,2.55,overcast clouds
177,port blair,IN,2021-09-28 01:15:34,11.6667,92.75,80.47,82,93,4.16,overcast clouds
178,capanema,BR,2021-09-28 01:15:34,-1.1958,-47.1808,73.0,95,0,2.95,clear sky
179,nemuro,JP,2021-09-28 01:15:35,43.3236,145.575,64.83,77,99,13.91,overcast clouds
180,black river,JM,2021-09-28 01:15:35,18.0264,-77.8487,84.2,77,9,1.21,clear sky
181,torbay,CA,2021-09-28 01:15:36,47.6666,-52.7314,58.57,94,75,14.97,broken clouds
182,riyadh,SA,2021-09-28 01:10:56,24.6877,46.7219,71.74,16,96,9.37,overcast clouds
183,hilo,US,2021-09-28 01:10:56,19.7297,-155.09,82.13,70,90,8.05,overcast clouds
184,portobelo,PA,2021-09-28 01:15:37,9.55,-79.65,79.21,83,100,1.39,overcast clouds
185,brigantine,US,2021-09-28 01:15:37,39.4101,-74.3646,72.01,68,1,8.05,clear sky
186,hithadhoo,MV,2021-09-28 01:15:38,-0.6,73.0833,82.8,74,100,16.02,overcast clouds
187,darhan,MN,2021-09-28 01:15:38,49.4867,105.9228,37.94,68,100,12.53,overcast clouds
188,coihaique,CL,2021-09-28 01:15:38,-45.5752,-72.0662,44.55,65,40,3.44,scattered clouds
189,kalat,PK,2021-09-28 01:15:39,29.0225,66.5916,60.89,70,5,3.04,clear sky
190,khasan,RU,2021-09-28 01:15:39,42.4308,130.6434,66.85,82,82,7.63,broken clouds
191,phan thiet,VN,2021-09-28 01:15:40,10.9333,108.1,82.15,75,83,2.68,broken clouds
192,lagoa,PT,2021-09-28 01:15:40,39.05,-27.9833,68.32,77,56,17.05,broken clouds
193,turayf,SA,2021-09-28 01:15:40,31.6725,38.6637,66.45,77,0,9.22,clear sky
194,mount gambier,AU,2021-09-28 01:15:41,-37.8333,140.7667,66.97,46,95,8.3,light rain
195,cherskiy,RU,2021-09-28 01:15:41,68.75,161.3,22.95,95,100,17.49,light snow
196,paamiut,GL,2021-09-28 01:15:42,61.994,-49.6678,34.03,59,0,1.74,clear sky
197,sosnovo,RU,2021-09-28 01:15:42,60.5514,30.2144,44.44,95,2,1.21,clear sky
198,dwarka,IN,2021-09-28 01:15:43,22.2394,68.9678,82.45,79,84,5.97,broken clouds
199,faanui,PF,2021-09-28 01:15:43,-16.4833,-151.75,79.63,73,6,14.88,clear sky
200,severo-kurilsk,RU,2021-09-28 01:15:12,50.6789,156.125,51.12,80,99,9.4,overcast clouds
201,beloha,MG,2021-09-28 01:15:44,-25.1667,45.05,71.02,55,9,10.56,clear sky
202,kruisfontein,ZA,2021-09-28 01:15:44,-34.0033,24.7314,58.89,84,100,14.14,overcast clouds
203,cap-aux-meules,CA,2021-09-28 01:15:45,47.3821,-61.8597,59.05,77,75,9.22,broken clouds
204,carnarvon,AU,2021-09-28 01:15:45,-24.8667,113.6333,69.87,52,41,10.36,scattered clouds
205,marshall,US,2021-09-28 01:15:45,34.3834,-86.3333,70.48,72,1,0.0,clear sky
206,berezovyy,RU,2021-09-28 01:15:46,51.6667,135.7,62.91,47,4,7.09,clear sky
207,beringovskiy,RU,2021-09-28 01:15:46,63.05,179.3167,39.22,68,100,4.16,overcast clouds
208,katherine,AU,2021-09-28 01:15:47,-14.4667,132.2667,89.92,48,0,6.91,clear sky
209,saskylakh,RU,2021-09-28 01:15:47,71.9167,114.0833,26.46,89,19,8.7,few clouds
210,bilma,NE,2021-09-28 01:15:47,18.6853,12.9164,84.31,21,4,7.36,clear sky
211,san pedro,PH,2021-09-28 01:15:48,14.35,121.0167,87.03,72,40,3.44,scattered clouds
212,san javier,ES,2021-09-28 01:15:48,37.8063,-0.8374,71.69,72,100,2.13,overcast clouds
213,bilibino,RU,2021-09-28 01:15:49,68.0546,166.4372,20.23,89,100,10.18,light snow
214,thinadhoo,MV,2021-09-28 01:15:49,0.5333,72.9333,83.07,72,84,14.83,broken clouds
215,yarada,IN,2021-09-28 01:15:49,17.65,83.2667,77.32,100,90,5.75,overcast clouds
216,bredasdorp,ZA,2021-09-28 01:15:50,-34.5322,20.0403,46.27,90,0,6.51,clear sky
217,la ronge,CA,2021-09-28 01:15:50,55.1001,-105.2842,57.45,77,1,5.75,clear sky
218,nanortalik,GL,2021-09-28 01:15:51,60.1432,-45.2371,34.48,68,0,2.19,clear sky
219,guymon,US,2021-09-28 01:15:51,36.6828,-101.4816,78.8,29,1,8.05,clear sky
220,fairbanks,US,2021-09-28 01:12:23,64.8378,-147.7164,40.96,69,75,0.0,broken clouds
221,sao miguel do araguaia,BR,2021-09-28 01:15:52,-13.275,-50.1628,80.82,52,43,1.66,scattered clouds
222,charleville-mezieres,FR,2021-09-28 01:15:52,49.7667,4.7167,51.48,96,100,3.91,overcast clouds
223,gijon,ES,2021-09-28 01:11:53,43.5357,-5.6615,62.46,87,100,1.01,overcast clouds
224,porto novo,BJ,2021-09-28 01:15:53,6.4965,2.6036,76.39,88,83,3.85,broken clouds
225,zyryanka,RU,2021-09-28 01:15:54,65.75,150.85,30.79,64,100,17.56,overcast clouds
226,garden city,US,2021-09-28 01:15:54,42.3256,-83.331,72.05,79,1,3.44,clear sky
227,richards bay,ZA,2021-09-28 01:15:54,-28.783,32.0377,69.85,82,85,14.61,overcast clouds
228,sistranda,NO,2021-09-28 01:15:55,63.7256,8.834,60.91,68,100,35.48,light rain
229,constitucion,CL,2021-09-28 01:13:00,-35.3333,-72.4167,52.0,64,0,7.54,clear sky
230,riberalta,BO,2021-09-28 01:15:55,-10.9833,-66.1,80.71,56,6,2.68,clear sky
231,bethel,US,2021-09-28 01:10:58,41.3712,-73.414,72.57,72,1,3.44,clear sky
232,corlu,TR,2021-09-28 01:15:56,41.1592,27.8,58.98,94,0,8.05,clear sky
233,comodoro rivadavia,AR,2021-09-28 01:15:56,-45.8667,-67.5,51.66,35,0,16.11,clear sky
234,bay roberts,CA,2021-09-28 01:15:57,47.5999,-53.2648,59.32,93,14,5.01,few clouds
235,jiayuguan,CN,2021-09-28 01:15:57,39.8167,98.3,64.18,18,0,3.29,clear sky
236,governador valadares,BR,2021-09-28 01:15:58,-18.8511,-41.9494,75.51,68,70,9.35,broken clouds
237,inarcs,HU,2021-09-28 01:15:58,47.262,19.327,62.98,86,100,5.03,overcast clouds
