City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,broken hill,AU,2021-09-27 03:19:14,-31.95,141.4333,70.77,16,2,6.62
1,kodiak,US,2021-09-27 03:22:46,57.79,-152.4072,45.0,63,0,10.49
2,geraldton,AU,2021-09-27 03:22:47,-28.7667,114.6,68.41,52,40,16.11
3,bethel,US,2021-09-27 03:22:47,41.3712,-73.414,62.58,83,1,0.0
4,santa lucia,ES,2021-09-27 03:22:48,27.9117,-15.5407,65.52,85,20,17.27
5,coihaique,CL,2021-09-27 03:21:20,-45.5752,-72.0662,39.15,93,75,3.44
6,portland,US,2021-09-27 03:21:33,45.5234,-122.6762,70.79,72,90,1.99
7,margate,GB,2021-09-27 03:13:40,51.3813,1.3862,64.11,98,89,15.5
8,hobart,AU,2021-09-27 03:22:49,-42.8794,147.3294,60.12,48,75,1.99
9,bluff,NZ,2021-09-27 03:22:49,-46.6,168.3333,55.8,53,4,6.38
10,khatanga,RU,2021-09-27 03:22:50,71.9667,102.5,32.52,81,95,11.1
11,ushuaia,AR,2021-09-27 03:20:10,-54.8,-68.3,38.86,75,0,3.44
12,mahebourg,MU,2021-09-27 03:22:51,-20.4081,57.7,72.25,78,75,23.02
13,bereda,ES,2021-09-27 03:22:51,43.2686,-7.5406,62.42,84,96,8.1
14,puerto ayora,EC,2021-09-27 03:22:52,-0.7393,-90.3518,68.77,92,67,7.61
15,yang talat,TH,2021-09-27 03:22:52,16.3998,103.3679,87.15,77,82,7.65
16,hermanus,ZA,2021-09-27 03:22:53,-34.4187,19.2345,57.9,90,45,2.64
17,rikitea,PF,2021-09-27 03:22:53,-23.1203,-134.9692,73.96,71,6,19.01
18,mataura,NZ,2021-09-27 03:22:54,-46.1927,168.8643,55.47,33,3,1.81
19,pemangkat,ID,2021-09-27 03:22:54,1.1667,108.9667,77.16,90,100,9.22
20,kapaa,US,2021-09-27 03:22:55,22.0752,-159.319,84.18,76,75,5.99
21,norman wells,CA,2021-09-27 03:22:56,65.282,-126.8329,30.24,80,75,4.61
22,albany,US,2021-09-27 03:17:58,42.6001,-73.9662,54.99,90,6,4.65
23,katsuura,JP,2021-09-27 03:22:56,35.1333,140.3,81.1,64,28,18.92
24,richards bay,ZA,2021-09-27 03:22:57,-28.783,32.0377,64.02,95,17,7.45
25,storforshei,NO,2021-09-27 03:22:57,66.4043,14.5233,47.66,86,100,6.33
26,angoche,MZ,2021-09-27 03:22:58,-16.2325,39.9086,73.35,84,19,5.37
27,barrow,US,2021-09-27 03:19:48,71.2906,-156.7887,21.22,86,1,11.5
28,ambovombe,MG,2021-09-27 03:22:58,-25.1667,46.0833,66.76,80,1,5.77
29,sao gabriel da cachoeira,BR,2021-09-27 03:22:59,-0.1303,-67.0892,71.89,98,61,1.01
30,new norfolk,AU,2021-09-27 03:23:00,-42.7826,147.0587,59.76,35,50,4.25
31,bolitoc,PH,2021-09-27 03:23:00,15.7395,119.8769,87.66,68,59,5.66
32,pevek,RU,2021-09-27 03:23:01,69.7008,170.3133,31.86,89,100,22.46
33,north bend,US,2021-09-27 03:23:01,43.4065,-124.2243,70.25,97,90,11.5
34,port blair,IN,2021-09-27 03:13:12,11.6667,92.75,81.72,81,100,10.6
35,punta arenas,CL,2021-09-27 03:21:33,-53.15,-70.9167,41.11,81,0,10.36
36,bemidji,US,2021-09-27 03:23:02,47.4736,-94.8803,60.57,77,1,0.0
